title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_hours,price
The module begins with an overview of the IELTS Listening Test and what it includes. This will give you important facts about this module and what it is designed to assess. Following this, we'll show you the differences between each section of the IELTS Listening Test and the types of questions you will need to answer. You will also have opportunities to practise these types of questions and gain the skills that you need. ,"1,45,049",Instructor-led on a course schedule,Massachusetts Institute of Technology,Chris Caplice,Introductory,Business & Management,English,English,180,15820.5
MODULE 2: SPEAKING,,"91,406",Self-paced on your time,University of Pennsylvania,Chris Murphy-Swapneel Sheth,Intermediate,Computer Science,English,English,32,11845.5
This module outlines the different features of the Speaking Test. In preparation for Part 1 of the Speaking Test, we focus on some of the grammar that you can use to talk about your likes and dislikes. We'll also give you some examples of how to extend your answers,"37,501",Self-paced on your time,Harvard University,Peter K. Bol,Introductory,Humanities,English,English,28,7870.5
This module begins with an overview of the IELTS Reading Test and what it includes. This will give you important information about what the test is designed to assess and the different question types used in the test. There will be opportunities to practise the skills you have learned. ,,"1,03,704",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,20,3975
MODULE 4: WRITING,,"29,101",Self-paced on your time,United Arab Emirates University,Derek Justin Brown,Introductory,Language,English,English,18,3895.5
The module begins with an overview of the IELTS Writing Test and what it includes. We'll then look at the two tasks involved in the test. In preparation for Task 1, you'll learn how to identify different types of visuals,"2,66,978",Self-paced on your time,"The University of California, San Diego",Ilkay Altintas-Leo Porter,Advanced,Data Analysis & Statistics,English,English,100,27825
The Architectural Imagination,Learn fundamental principles of architecture � as an academic subject or a professional career � by studying some of history�s most important buildings.,"45,867",Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,8,15820.5
TOEFL� Test Preparation: The Insider�s Guide,Prepare for the TOEFL� test and learn how to improve your score and English language skills from the experts who create the exam.,"47,549",Self-paced on your time,The University of Queensland,Tim Kastelle,Intermediate,Business & Management,English,English,100,397.5
Principles of Biochemistry,"This introduction to biochemistry explores the molecules of life, starting at simple building blocks and culminating in complex metabolism.","69,104",Self-paced on your time,Harvard University,Peter K. Bol-William C. Kirby,Introductory,History,English,"English, 中文",45,11050.5
Using Python for Research,Take your introductory knowledge of Python programming to the next level and learn how to use Python 3 for your research.,"56,040",Self-paced on your time,MandarinX,Estella Chen,Introductory,Language,English,English,60,11845.5
Review of basic Python 3 language concepts and syntax. Week 2: Python Research Tools,,"1,47,512",Instructor-led on a course schedule,Massachusetts Institute of Technology,Eric S. Lander-Michelle Mischke-Graham Walker-Brian White,Introductory,Biology & Life Sciences,English,"English, 中文",160,11925
Introduction to Python modules commonly used in scientific computation, such as NumPy. Weeks 3 & 4: Case Studies,"22,969",Self-paced on your time,Pontificia Universidad Javeriana,Juan Carlos Alonso Rico,Introductory,Art & Culture,Español,Español,50,1510.5
"This collection of six case studies from different disciplines provides opportunities to practice Python research skills. Week 5: Statistical Learning Exploration of statistical learning using the scikit-learn library followed by a two-part case study that allows you to further practice your coding skills.""",https://www.edx.org/course/using-python-for-research,"50,949",Self-paced on your time,Harvard University,Miguel Hernán,Introductory,Data Analysis & Statistics,English,English,27,7870.5
Hinduism Through Its Scriptures,"Learn about the rich diversity of Hindu sacred texts � hymns, narratives, philosophical thought � and their interpretations.","3,01,585",Self-paced on your time,Tsinghua University,Wenxia Zhang-Fang Yang-Glenn M. Davis-Thomas H. Piachaud,Introductory,Communication,English,English,40,3895.5
Basic Spanish 1: Getting Started,"Learn Spanish and explore Spanish culture in this introductory language course, designed for English speakers.","31,868",Self-paced on your time,Harvard University,Stephen Greenblatt-Bailey Sincox,Introductory,Humanities,English,English,28,3895.5
The Health Effects of Climate Change,"Learnhow global warming impacts human health, and the wayswe can diminish those impacts.","67,687",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Virginia González-Cristina Navarro-Begoña García Migura,Introductory,Language,English,"English, Español",20,3975
In this week you'll meet the professors, get used to the edX environment,"37,452",Self-paced on your time,The International Monetary Fund,Adolfo Barajas-Evan Tanner-Seung Mo Choi-Fabio Comelli,Intermediate,Economics & Finance,English,English,70,1987.5
From here on, our coursewill be focused on answering a set of questions each week. This week: How does climate change affect heat-related illness? What does climate change have to do with air quality? What can be done to prevent heat exposure? Infections,"73,208",Self-paced on your time,Harvard University,David J. Malan,Introductory,Computer Science,English,English,36,7155
How does climate change impact water-borne diseases (like cholera and dysentery) and vector-borne diseases (such as malaria and dengue)? Will there be more outbreaks of water-borne diseases in a warming world? How will the range of disease vectors such as mosquitos and ticks shift with changes in temperature and rainfall? Nutrition,,"18,883",Self-paced on your time,Inter-American Development Bank,Lea Giménez-Miguel Porrúa-Benjamin Roseth-Alejandro Pareja,Introductory,Social Sciences,Español,Español,16,1987.5
Will we grow more crops or fewer in a hotter world? Will those crops be more nutritious, or less? What about the pests that feed on those crops? How will marine fisheries adapt to a warmer and more acidic ocean? Migration,"58,532",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,20,3975
What happens when ambient temperatures exceed human tolerances? When storms, droughts and,"54,805",Self-paced on your time,Harvard University,"Gregory Curfman, MD-Catherine Finn, MSW, LCSW",Introductory,Medicine,English,English,20,7870.5
Climate change's impact on health can be gradual and progressive, emerging over years or even decades. How can one identify the relevant datasets to understand these emerging health impacts of climate change time series analysis? How can we address challenges of physical and temporal scale? Responding to Climate Change,"3,06,286",Self-paced on your time,Inter-American Development Bank,Ernesto Mondelo-Claudia Baca,Introductory,Business & Management,Español,Español,40,3895.5
In our final week, we ask: What can nations,"27,968",Self-paced on your time,Stanford University,Trevor Hastie-Robert Tibshirani,Introductory,Data Analysis & Statistics,English,English,45,3975
Ingl�s b�sico: conversacional y networking,Cumple tu meta de aprender ingl�s b�sico para utilizarlo de forma estrat�gica en los negocios e incrementar tu �xito profesional.,"79,365",Self-paced on your time,The University of Queensland,Blake McKimmie-Roy Baumeister,Introductory,Humanities,English,English,14,7870.5
Statistics and R,An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,"2,65,104",Instructor-led on a course schedule,Columbia University,Ansaf Salleb-Aouissi,Advanced,Computer Science,English,English,120,19795.5
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),"Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in chemistry, physics, and engineering. Learn about food molecules and how chemical reactions can affect food texture and flavor.","35,504",Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,16,3895.5
Includes a discussion by Daniel Humm of Eleven Madison Park in NYC on flavor, pH,"64,261",Self-paced on your time,Universitat Politècnica de Valencia,Francisco Guijarro Martínez-Fernando García García-Javier Oliver Muncharaz,Introductory,Economics & Finance,Español,Español,8,3975
Includes a welcome drink by Dave Arnold of Booker and Dax in NYC to toast the course, and a scientific discussion of how to cook a perfect egg. This module will focus on one of the most commons ways to cook - adding energy in the form of heat to increase the temperature of a food andthus change its internal structure. Module 3: Phase transitions,"17,581",Self-paced on your time,Harvard University,Melissa McCormick,Introductory,Art & Culture,English,English,18,7950
